danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
0.806,0.549,0,-7.691,1,0.282,0.0268,0.0,0.0879,0.744,163.934,4z9SF6WXrEqsSdhFQKzScJ
0.615,0.43,6,-10.979,0,0.393,0.212,1.76e-05,0.314,0.495,192.094,7hEsqJKlu3Vk8rIQUGd4Vn
0.265,0.603,9,-9.155,0,0.0373,0.000425,0.0529,0.0835,0.302,97.996,2JEXDKSq7q9fEfPWfJYgqx
0.533,0.573,10,-5.579,0,0.03,0.169,0.0,0.262,0.396,147.72,6Fld2Kt2qoVrB2JIbyI4JJ
0.345,0.291,0,-8.748,1,0.0278,0.641,0.0399,0.151,0.299,136.751,2kVQpubE6URKKj9L7Upk2l
0.371,0.64,9,-6.02,0,0.0301,0.000464,4.43e-05,0.168,0.197,74.537,6kesIBNAY17BoAz28pnWMC
0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,1qRA5BS78u3gME0loMl9AA
0.321,0.389,8,-8.909,1,0.0498,0.67,0.00109,0.0926,0.128,127.778,20jZ7lf5eqDUQQruuMSKVE
0.591,0.967,11,-3.068,1,0.216,0.177,0.0,0.359,0.858,92.605,6zucgMkRLsGgNIN8o0qX0W
0.332,0.635,7,-5.653,1,0.0898,0.159,2.79e-06,0.0599,0.261,186.249,6KI1ZpZWYAJLvmVhCJz65G
0.491,0.616,4,-6.53,1,0.0349,0.0152,0.00045,0.125,0.0824,116.145,7jfZybgHr6yzp4iuMS2K8u
0.681,0.505,1,-11.709,1,0.138,0.137,0.0,0.234,0.399,89.953,1rJM37Dd4OcSJvzI84yCcP
0.51,0.267,9,-8.496,0,0.0275,0.53,0.00941,0.105,0.0399,108.4,0cckBtdJLxpuQKY8vfF1Hs
0.403,0.502,8,-7.253,1,0.0272,0.264,0.000414,0.115,0.277,85.016,7MG7gpATZUt9a8Z6S6W6kX
0.521,0.583,0,-8.451,1,0.0274,0.399,0.00174,0.347,0.353,146.009,11Mkoen07pKwyDqHiFnVU9
0.346,0.195,6,-9.601,1,0.0297,0.874,0.0,0.12,0.223,84.537,4biG2TPKDENHXA5Tz34IRd
0.41,0.601,7,-10.714,1,0.504,0.127,0.0,0.112,0.516,173.273,7x6hO9VMAee9x1iWaeNkL6
0.633,0.816,9,-11.223,0,0.0408,0.199,4.86e-06,0.988,0.606,93.85,7hkOgKKybgawYUcrkZD3wV
0.663,0.822,8,-7.586,1,0.0519,0.344,0.0157,0.289,0.496,120.015,5JJ8ffAZf3Cb9oUmmdGUtn
0.279,0.454,2,-7.733,1,0.0316,0.395,0.0,0.198,0.216,150.661,6lTTzSk1hRrxp4VMwXBp2l
0.6,0.444,9,-8.446,1,0.0266,0.368,0.00206,0.107,0.266,121.837,77HpxIv26uqLdvVajRQkPN
0.765,0.473,10,-5.829,1,0.0514,0.287,0.0,0.391,0.34,119.992,5kqIPrATaCc2LqxVWzQGbk
0.272,0.735,2,-6.548,1,0.0531,0.00622,0.00195,0.0781,0.0712,99.996,1WDJfch4wA8U6JCWSnMsxN
0.685,0.323,0,-8.695,1,0.0255,0.463,0.173,0.273,0.153,107.68,7henYpsVePUUrB8sQmhG6O
0.503,0.588,9,-10.569,1,0.0449,0.0496,0.0931,0.0706,0.367,62.302,3iKmdCDZK4XmqxIA9fVVGs
0.534,0.561,5,-11.089,0,0.0409,0.0442,0.678,0.189,0.219,84.978,01VFDkHBNJcCNUjzD3flWg
0.553,0.362,4,-11.218,0,0.0263,0.0458,6.01e-06,0.075,0.158,142.352,0nLiqZ6A27jJri2VCalIUs
0.731,0.737,1,-6.861,0,0.194,0.133,0.0,0.0732,0.616,98.004,673OnqT7JuOTkxyfa0BT0t
0.507,0.856,9,-6.865,0,0.042,0.00566,0.0934,0.696,0.661,93.052,3Lv59zQJQMIpZiSlszhc9T
0.387,0.539,7,-6.532,0,0.0349,0.759,0.0,0.21,0.381,163.939,35VvSoziBYTFTkcVzOnCQ9
